Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale
Dominik et al. (2018),p28,sub10,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Pests,NA,Herbivores,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.007830016,187,100_m_R
Dominik et al. (2018),p28,sub11,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Pests,NA,Herbivores,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.08924391,187,200_m_R
Dominik et al. (2018),p28,sub12,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Pests,NA,Herbivores,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.0652286,187,300_m_R
"Al Hassan et al. (2012, 2013)",p29,sub22,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05518271,48,100_m_R
"Al Hassan et al. (2012, 2013)",p29,sub23,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1695458,48,100_m_R
"Al Hassan et al. (2012, 2013)",p29,sub24,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09582995,48,100_m_R
"Al Hassan et al. (2012, 2013)",p29,sub25,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05765596,48,250_m_R
"Al Hassan et al. (2012, 2013)",p29,sub26,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1404078,48,250_m_R
"Al Hassan et al. (2012, 2013)",p29,sub27,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06392887,48,250_m_R
"Al Hassan et al. (2012, 2013)",p29,sub28,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.01292008,48,500_m_R
"Al Hassan et al. (2012, 2013)",p29,sub29,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1040588,48,500_m_R
"Al Hassan et al. (2012, 2013)",p29,sub30,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1485831,48,500_m_R
Dainese et al. (2017),p48,sub358,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09470615,26,100_m_R
Dainese et al. (2017),p48,sub359,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.04045688,26,250_m_R
Dainese et al. (2017),p48,sub360,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.04154249,26,500_m_R
Dainese et al. (2017),p48,sub361,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06129265,26,1000_m_R
Janković et al. (2017),p56,sub508,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Pea aphid ,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2699212,26,100_m_R
Janković et al. (2017),p56,sub509,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Cowpea aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2472713,26,100_m_R
Janković et al. (2017),p56,sub510,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Rose-grass aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02335142,26,100_m_R
Janković et al. (2017),p56,sub511,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Grain aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05634795,26,100_m_R
Janković et al. (2017),p56,sub512,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Yellow clover aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.329184,26,100_m_R
Janković et al. (2017),p56,sub513,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Pea aphid ,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.01093249,26,250_m_R
Janković et al. (2017),p56,sub514,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Cowpea aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1056313,26,250_m_R
Janković et al. (2017),p56,sub515,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Rose-grass aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1486253,26,250_m_R
Janković et al. (2017),p56,sub516,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Grain aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2376141,26,250_m_R
Janković et al. (2017),p56,sub517,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Yellow clover aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.01295631,26,250_m_R
Janković et al. (2017),p56,sub518,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Pea aphid ,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1875978,26,500_m_R
Janković et al. (2017),p56,sub519,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Cowpea aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09885502,26,500_m_R
Janković et al. (2017),p56,sub520,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Rose-grass aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2539194,26,500_m_R
Janković et al. (2017),p56,sub521,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Grain aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2515219,26,500_m_R
Janković et al. (2017),p56,sub522,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Yellow clover aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.04321483,26,500_m_R
Thies et al. (2005),p62,sub712,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.04984126,39,100_m_R
Thies et al. (2005),p62,sub713,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.01790322,39,250_m_R
Thies et al. (2005),p62,sub714,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.07325757,39,500_m_R
Thies et al. (2005),p62,sub715,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.03127441,39,1000_m_R
Thies et al. (2005),p62,sub716,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.06535334,39,2000_m_R
Thies et al. (2005),p62,sub717,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.0927519,39,3000_m_R
Sutter et al. (2018),p63,sub758,Switzerland,Zurich,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1200328,72,100_m_R
Sutter et al. (2018),p63,sub759,Switzerland,Zurich,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1780947,72,250_m_R
Sutter et al. (2018),p63,sub760,Switzerland,Zurich,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2587353,72,500_m_R
Sutter et al. (2018),p63,sub761,Switzerland,Zurich,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1897324,72,1000_m_R
Tschumi et al. (2015),p65,sub810,Switzerland,Central Swiss plateau (cantons Zurich and Aargau),Temperate,Wheat,Invertebrates,Pests,Coleoptera,Cereal leaf beetle (Oulema.melanopus),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.07427386,50,100_m_R
Tschumi et al. (2015),p65,sub811,Switzerland,Central Swiss plateau (cantons Zurich and Aargau),Temperate,Wheat,Invertebrates,Pests,Coleoptera,Cereal leaf beetle (Oulema.melanopus),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06509982,50,250_m_R
Tschumi et al. (2015),p65,sub812,Switzerland,Central Swiss plateau (cantons Zurich and Aargau),Temperate,Wheat,Invertebrates,Pests,Coleoptera,Cereal leaf beetle (Oulema.melanopus),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.01782405,50,500_m_R
Tschumi et al. (2015),p65,sub813,Switzerland,Central Swiss plateau (cantons Zurich and Aargau),Temperate,Wheat,Invertebrates,Pests,Coleoptera,Cereal leaf beetle (Oulema.melanopus),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1151979,50,1000_m_R
Schneider et al. (2015),p68,sub853,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.0161961,36,100_m_R
Schneider et al. (2015),p68,sub854,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02142203,36,250_m_R
Schneider et al. (2015),p68,sub855,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.04205537,36,500_m_R
Schneider et al. (2015),p68,sub856,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.01055178,36,1000_m_R
Schneider et al. (2015),p68,sub857,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.01689756,35,2000_m_R
Schneider et al. (2015),p68,sub858,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.009477188,35,3000_m_R
Gladbach et al. (2011),p69,sub859,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.2959171,8,100_m_R
Gladbach et al. (2011),p69,sub860,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02777035,8,250_m_R
Gladbach et al. (2011),p69,sub861,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.03079197,8,500_m_R
Gladbach et al. (2011),p69,sub862,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1645585,8,1000_m_R
Gladbach et al. (2011),p69,sub863,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2128343,8,2000_m_R
Gladbach et al. (2011),p69,sub864,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4184283,8,3000_m_R
"Ruscha et al. (2011, 2013)",p70,sub865,France,Normandy,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.29165,42,100_m_R
"Ruscha et al. (2011, 2013)",p70,sub866,France,Normandy,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3488429,42,250_m_R
"Ruscha et al. (2011, 2013)",p70,sub867,France,Normandy,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3903395,42,500_m_R
"Ruscha et al. (2011, 2013)",p70,sub868,France,Normandy,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3962249,42,1000_m_R
"Ruscha et al. (2011, 2013)",p70,sub869,France,Normandy,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4075307,42,2000_m_R
Martínez-Núñez et al. (2020),p76,sub967,Spain,Andalusia,Temperate,Olive groves,Invertebrates,Pests,Lepidoptera,Pest(Prays oleae),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.271714647,40,1000_m_R
Martínez-Núñez et al. (2020),p76,sub968,Spain,Andalusia,Temperate,Olive groves,Invertebrates,Pests,Diptera,Pest(Bactrocera oleae),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.3167306,40,1000_m_R
Blubaugh et al. (2021),p87,sub1014,USA,"Washington, Oregon and Idaho",Temperate,Multiple,Invertebrates,Pests,Lepidoptera,Lepidoptera (butterflies),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.279,52,1000_m_R
Blubaugh et al. (2021),p87,sub1015,USA,"Washington, Oregon and Idaho",Temperate,Multiple,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.43,52,1000_m_R
Fabian et al. (2013),p88,sub1017,Switzerland,Lake Neuchatel in north-west Switzerland (coordinates: 46° 52′ N 06° 56′ E),Temperate,Multiple,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.06108626,10,500_m_R
Dorman et al. (2020),p91,sub1085,USA,Virginia,Temperate,"Mainly cotton, also corn,  wheat, soybeans",Invertebrates,Pests,Hemiptera,Lygus lineolaris,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2958822,22,3000_m_R
Dorman et al. (2020),p91,sub1086,USA,Virginia,Temperate,"Mainly cotton, also corn,  wheat, soybeans",Invertebrates,Pests,Hemiptera,Lygus lineolaris,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2301916,22,1500_m_R
Dorman et al. (2020),p91,sub1087,USA,Virginia,Temperate,"Mainly cotton, also corn,  wheat, soybeans",Invertebrates,Pests,Hemiptera,Lygus lineolaris,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2577965,22,750_m_R
Dorman et al. (2020),p91,sub1088,USA,Virginia,Temperate,"Mainly cotton, also corn,  wheat, soybeans",Invertebrates,Pests,Hemiptera,Lygus lineolaris,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.273178,34,3000_m_R
Dorman et al. (2020),p91,sub1089,USA,Virginia,Temperate,"Mainly cotton, also corn,  wheat, soybeans",Invertebrates,Pests,Hemiptera,Lygus lineolaris,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2266777,34,1500_m_R
Dorman et al. (2020),p91,sub1090,USA,Virginia,Temperate,"Mainly cotton, also corn,  wheat, soybeans",Invertebrates,Pests,Hemiptera,Lygus lineolaris,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1911983,34,750_m_R
Priyadarshana et al. (2023),p93,sub1091,China,"Nanning, the capital of Guangxi Zhuang Autonomous Region (22◦56′–22◦95′N, 108◦13′–108◦62′E)",Tropical,"Multiple (rice, sugarcane, corn are dominant)",Invertebrates,Pests,Lepidoptera,Butterflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.08690251,156,100_m_R
Priyadarshana et al. (2023),p93,sub1092,China,"Nanning, the capital of Guangxi Zhuang Autonomous Region (22◦56′–22◦95′N, 108◦13′–108◦62′E)",Tropical,"Multiple (rice, sugarcane, corn are dominant)",Invertebrates,Pests,Lepidoptera,Butterflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.2775284,156,500_m_R
Serafini et al. (2019),p100,sub1097,Argentina,"Co ́rdoba Province, Argentina",Tropical,Mixed crops,Vertebrates,Pests,Rodentia,Small mammals,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.144222051,47,150m
Serafini et al. (2019),p100,sub1098,Argentina,"Co ́rdoba Province, Argentina",Tropical,Mixed crops,Vertebrates,Pests,Rodentia,Small mammals,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.083666003,34,200m
Serafini et al. (2019),p100,sub1099,Argentina,"Co ́rdoba Province, Argentina",Tropical,Mixed crops,Vertebrates,Pests,Rodentia,Small mammals,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.024494897,42,300m
Serafini et al. (2019),p100,sub1100,Argentina,"Co ́rdoba Province, Argentina",Tropical,Mixed crops,Vertebrates,Pests,Rodentia,Small mammals,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.168226038,47,400m
Serafini et al. (2019),p100,sub1101,Argentina,"Co ́rdoba Province, Argentina",Tropical,Mixed crops,Vertebrates,Pests,Rodentia,Small mammals,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.565685425,42,500m
Serafini et al. (2019),p100,sub1102,Argentina,"Co ́rdoba Province, Argentina",Tropical,Mixed crops,Vertebrates,Pests,Rodentia,Small mammals,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.165529454,42,600m
Serafini et al. (2019),p103,sub1106,Argentina,"Córdoba Province, Argentina",Tropical,Soybean,Vertebrates,Pests,Rodentia,Small mammals,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.283196045,16,200m
Serafini et al. (2019),p103,sub1107,Argentina,"Córdoba Province, Argentina",Tropical,Soybean,Vertebrates,Pests,Rodentia,Small mammals,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.535817133,15,200m
Serafini et al. (2019),p103,sub1108,Argentina,"Córdoba Province, Argentina",Tropical,Soybean,Vertebrates,Pests,Rodentia,Small mammals,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.216333077,17,200m
Noma et al. (2010),p106,sub1119,USA,"Iowa, Michigan, Minnesota, and Wisconsin",Temperate,Soybean,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SIDI,Simpson diversity index ,Landscape_compositional_het,Compositional_het,Landscape_het,-0.291547595,26,2000m
"Al Hassan et al. (2012, 2013)",p29,sub1143,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,SWDiversity,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1020127,48,100_m_R
"Al Hassan et al. (2012, 2013)",p29,sub1144,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Richness,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.197301,48,100_m_R
